TestID,StartX,StartY,TargetX,TargetY,PathFound,ExecutionTimeMs,ExploredNodes,PathLength
0,2,3,28,15,True,5,4983,29,32,14
1,15,9,16,10,False,1,5909,624,0,00
2,5,5,5,15,True,0,0565,11,10,00
3,10,2,20,16,True,0,0926,16,18,73
4,31,0,0,17,True,0,1506,32,38,04
5,8,8,24,8,True,0,0829,17,16,00
6,1,15,30,2,True,0,1719,30,34,38
7,12,12,14,4,True,0,0805,20,15,66
8,18,5,3,10,True,0,0748,16,17,07
9,0,17,31,0,True,0,1381,32,38,04
10,7,3,25,12,True,0,1030,19,21,73
11,14,7,21,11,True,0,0448,8,8,66
12,22,4,9,14,True,0,0852,19,20,07
13,3,1,28,16,True,0,1287,26,31,21
14,11,8,11,2,True,0,0376,7,6,00
15,29,15,2,2,True,0,1526,28,32,38
16,16,0,16,17,True,0,0971,22,19,24
17,25,9,5,9,True,0,0916,21,20,00
18,19,13,8,3,True,0,0894,20,19,83
19,4,14,27,5,True,0,1181,24,26,73
20,13,6,22,15,True,0,0623,12,13,90
21,6,2,29,11,True,0,1242,24,26,73
22,20,10,1,16,True,0,3749,20,21,48
23,9,4,26,7,True,0,0862,18,18,24
24,24,1,10,13,True,0,0934,20,22,73
25,2,11,18,6,True,0,0848,17,18,07
26,30,8,4,1,True,0,1225,27,28,90
27,17,16,12,3,True,0,0977,21,19,90
28,8,15,23,0,True,0,1094,23,25,31
29,1,4,30,14,True,0,1454,30,33,14
30,27,12,6,4,True,0,1040,22,24,31
31,14,2,20,10,True,0,0526,9,10,48
32,21,17,9,2,True,0,1032,23,24,07
33,5,10,28,3,True,0,1171,24,25,90
34,10,6,15,14,True,0,0749,17,16,07
35,26,3,11,11,False,1,4551,624,0,00
36,3,13,24,5,True,0,1065,22,24,31
37,12,1,19,16,True,0,0927,16,17,90
38,31,9,0,9,True,0,1356,32,31,00
39,7,16,22,2,True,0,1307,22,24,31
40,18,8,7,15,True,0,0679,16,16,24
41,15,15,16,1,True,0,0833,19,16,66
42,23,5,4,12,True,0,1184,22,23,07
43,2,6,29,13,True,0,1384,28,29,90
44,28,0,3,17,True,0,1439,28,33,21
45,9,11,25,4,True,0,0923,19,20,07
46,16,4,13,12,True,0,0970,26,16,07
47,6,9,21,1,True,0,0940,16,18,31
48,11,17,26,8,True,0,0846,16,18,73
49,20,3,5,16,True,0,0920,19,22,14
50,4,8,27,10,True,0,1029,25,24,66
51,19,1,10,15,True,0,0852,17,19,73
52,13,14,24,2,True,0,0768,16,18,31
53,25,16,8,5,True,0,0894,18,21,55
54,1,10,30,7,True,0,1780,30,30,24
55,22,8,2,14,True,0,0968,21,22,48
56,17,5,14,13,True,0,1003,22,16,07
57,10,12,21,4,True,0,0711,17,17,24
58,8,1,28,9,True,0,1025,21,23,31
59,29,6,6,15,True,0,1239,24,26,73
60,3,17,23,8,True,0,1072,23,24,90
61,12,9,18,2,True,0,0639,8,9,48
62,27,14,5,1,True,0,1192,23,27,38
63,15,4,20,17,True,0,1070,14,15,07
64,26,10,9,5,True,0,0896,18,19,07
65,4,2,25,13,True,0,1124,22,25,55
66,21,6,11,15,True,0,0993,19,20,07
67,14,16,2,3,True,0,0808,15,18,55
68,24,11,17,1,True,0,0629,11,12,90
69,7,7,29,2,True,0,1075,23,24,07
70,18,0,12,14,True,0,1047,21,20,73
71,2,15,30,0,True,0,1287,29,34,21
72,31,16,0,1,True,0,1751,32,37,21
73,16,10,5,3,True,0,0627,13,14,48
74,11,5,22,12,True,0,0636,12,13,90
75,9,17,28,6,True,0,1045,20,23,55
76,23,2,13,9,True,0,0654,11,12,90
77,19,7,4,16,True,0,0811,18,19,90
78,6,13,27,1,True,0,1311,23,26,55
79,20,15,10,4,True,0,0843,20,20,66
80,5,1,26,16,True,0,1126,22,27,21
81,25,4,1,11,True,0,1234,27,28,31
82,14,11,21,0,True,0,0780,18,18,24
83,8,6,31,13,True,0,1107,24,25,90
84,28,17,2,5,True,0,1291,27,30,97
85,12,13,19,4,True,0,0732,15,14,83
86,22,1,7,10,True,0,0803,16,18,73
87,17,12,24,3,True,0,0618,11,12,48
88,3,8,20,14,True,0,0917,18,19,48
89,29,3,15,16,True,0,0850,15,19,38
90,10,0,23,17,True,0,0936,18,22,38
91,4,11,30,4,True,0,1256,27,28,90
92,27,7,9,12,True,0,0945,19,20,07
93,13,3,18,15,True,0,0658,13,14,07
94,21,14,6,6,True,0,0880,18,19,48
95,1,7,25,10,True,0,1128,26,26,07
96,26,15,11,2,True,0,0858,16,20,38
97,16,2,8,13,True,0,0752,12,14,31
98,24,16,3,0,True,0,1077,23,28,21
